Model Name,Parameters,Tokens/Params,Tokens,Batch Size,Smoothed Loss,eval_gauntlet/world_knowledge,eval_gauntlet/reading_comprehension,eval_gauntlet/language_understanding,eval_gauntlet/commonsense_reasoning,eval_gauntlet/symbolic_problem_solving,eval_gauntlet/core_average,mmlu_5_shot_avg
150M,151000000.0,10,1510000000.0,160.0,3.6832035779953000,0.02560902394528630,0.06359703693952820,0.09169745072722440,0.003010536943163190,0.024564451336239800,0.04169569997828840,0.24406260565707600
150M,151000000.0,15,2265000000.0,160.0,3.5551889896392800,0.03103191664598550,0.05569570671973960,0.10134211803476000,0.018353536015465100,0.031429877365008,0.04757063095619170,0.2505803620606140
150M,151000000.0,20,3020000000.0,160.0,3.498247814178470,0.041900657450409900,0.06428801408037540,0.10918729503949500,0.01460524400075280,0.023796650969112900,0.05075557230802920,0.24741357721780500
150M,151000000.0,30,4530000000.0,160.0,3.4236525535583500,0.05469641878049940,0.02496696004851000,0.0996059812605381,0.048199369793846500,0.021570362476632000,0.0498078184720052,0.24939402728750000
150M,151000000.0,50,7550000000.0,160.0,3.3261364221572900,0.06033209552253160,0.02759172187911140,0.13284943252801900,0.04454726548421950,0.02951020623246830,0.05896614432926990,0.25662751103702300
150M,151000000.0,75,11325000000.0,160.0,3.29813072681427,0.07569007825248890,0.058101590722799300,0.13970303038756100,0.04356093349910920,0.03356764311902230,0.07012465519619610,0.2561954685993360
150M,151000000.0,100,15100000000.0,160.0,3.25439612865448,0.08472194916647670,0.051022699309719900,0.16197348882754600,0.06447868120102660,0.029101954773068400,0.0782597546555676,0.26157126065931800
150M,151000000.0,250,37750000000.0,160.0,3.1687928676605200,0.10218289636178100,0.029501888487074100,0.16700293868780100,0.06852856136503670,0.03662144301148750,0.08076754558263610,0.2655249470681480
150M,151000000.0,500,75500000000.0,160.0,3.1639216899871800,0.10106099046186700,0.04388221518860920,0.19119381656249400,0.057246287663777700,0.03076143270979330,0.0848289485173082,0.24754733945194000
150M,151000000.0,1000,151000000000.0,160.0,3.150672197341920,0.10419698704840100,0.07530296593904500,0.1827724501490590,0.06318703435716170,0.02733794536131120,0.09055947657099570,0.2570112418187290
150M,151000000.0,5000,755000000000.0,160.0,3.121196961402890,0.1020423567935560,0.06829444319009780,0.19604509323835400,0.06984879005522950,0.03331964490935210,0.09391006563731790,0.2559497466212830
150M,151000000.0,10000,1510000000000.0,160.0,3.059956431388860,0.1176137787222750,0.07908038463857440,0.20064340035120600,0.09833376180557980,0.04029614748433230,0.10719349460039300,0.24424902258212100
370M,367000000.0,10,3670000000.0,320.0,3.358017325401310,0.05197932444758840,0.04247880458003940,0.13513920207818300,0.02709360633577620,0.019605863156418000,0.0552593601196011,0.2570796588010960
370M,367000000.0,15,5505000000.0,320.0,3.2500068664550800,0.0775012449664563,0.048573222011327700,0.15768999606370900,0.04890340282803490,0.022250624513253600,0.07098369807655640,0.25848138201655
370M,367000000.0,20,7340000000.0,320.0,3.1912111759185800,0.08899787928896350,0.07707061039076910,0.1567220737536750,0.07632337865375340,0.037526681320741800,0.08732812468158050,0.2513476738281420
370M,367000000.0,30,11010000000.0,320.0,3.1195502042770400,0.10779133886089800,0.04688079448209870,0.1877636363108950,0.07472982576915200,0.04390177155534430,0.0922134733956776,0.2619593234961490
370M,367000000.0,50,18350000000.0,320.0,3.0196102380752600,0.1156388545431540,0.06673769652843470,0.2053429459532100,0.08746205908911570,0.035187671442205700,0.10207384551122400,0.24319415761713400
370M,367000000.0,75,27525000000.0,320.0,2.9823819637298600,0.12853612883486700,0.05495917548735940,0.23123196015755300,0.08933955714816140,0.0329631789897879,0.10740600012354600,0.259162831201888
370M,367000000.0,100,36700000000.0,320.0,2.948580837249760,0.1424268889187370,0.07454132785399750,0.2474776009718580,0.10616461719785400,0.04360275071424740,0.12284263713133900,0.2551399056325880
370M,367000000.0,250,91750000000.0,320.0,2.874852991104130,0.16473994812969900,0.1276693344116210,0.28374557942152000,0.10798624583653000,0.035878851621722200,0.1440039918842190,0.25616646074412200
370M,367000000.0,500,183500000000.0,320.0,2.8490917682647700,0.1742287367582320,0.09127841310368640,0.30077963322401000,0.11951749665396600,0.03483206165644030,0.14412726827926700,0.260606974363327
370M,367000000.0,1000,367000000000.0,320.0,2.7909493684768700,0.18961697847457100,0.11020930276976700,0.3194635783632600,0.13533472163336600,0.04843823774717750,0.1606125637976280,0.27807792236930400
750M,749000000.0,10,7490000000.0,480.0,3.151681995391850,0.0873330535253666,0.06821464954151050,0.1796430548032130,0.06651405777250020,0.030475134743998500,0.08643599007731760,0.2494057827351390
750M,749000000.0,15,11235000000.0,480.0,3.024321413040160,0.1168073685722680,0.0632494067152341,0.19956214974323900,0.0713391133717128,0.03378128541323050,0.0969478647631368,0.25035178975055100
